 python task3/inverted_index.py

Файл индекса inverted_index.txt не найден
Обработан документ 0182: 1120 терминов
Обработан документ 0183: 1673 терминов
Обработан документ 0184: 1875 терминов
Обработан документ 0185: 1895 терминов
Обработан документ 0186: 2096 терминов
Обработан документ 0187: 1775 терминов
Обработан документ 0188: 728 терминов
Обработан документ 0189: 930 терминов
Обработан документ 0190: 1784 терминов
Обработан документ 0191: 988 терминов
Обработан документ 0192: 985 терминов
Обработан документ 0193: 1303 терминов
Обработан документ 0194: 1442 терминов
Обработан документ 0195: 1345 терминов
Обработан документ 0196: 810 терминов
Обработан документ 0197: 1135 терминов
Обработан документ 0198: 1253 терминов
Обработан документ 0199: 697 терминов
Обработан документ 0200: 660 терминов

Запрос: экономика & рост & закон

Результат: 3 документов
Документы: 0038, 0102, 0108

Запрос: экономика & рост & !закон

Результат: 15 документов
Документы: 0025, 0040, 0053, 0062, 0064, 0065, 0071, 0075, 0090, 0091, 0101, 0104, 0110, 0150, 0195

Запрос: экономика & рост | закон

Результат: 69 документов
Документы: 0005, 0006, 0015, 0025, 0028, 0038, 0040, 0045, 0046, 0050, 0053, 0054, 0062, 0063, 0064, 0065, 0066, 0068, 0070, 0071, 0074, 0075, 0079, 0081, 0083, 0090, 0091, 0094, 0101, 0102, 0103, 0104, 0105, 0106, 0108, 0110, 0111, 0117, 0119, 0121, 0125, 0126, 0128, 0134, 0137, 0145, 0147, 0149, 0150, 0153, 0154, 0155, 0156, 0157, 0158, 0160, 0163, 0164, 0165, 0167, 0169, 0172, 0176, 0180, 0181, 0184, 0186, 0192, 0195

Запрос: экономика & !рост | !закон

Результат: 158 документов
Документы: 0001, 0002, 0003, 0004, 0007, 0008, 0009, 0010, 0011, 0012, 0013, 0014, 0016, 0017, 0018, 0019, 0020, 0021, 0022, 0023, 0024, 0025, 0026, 0027, 0029, 0030, 0031, 0032, 0033, 0034, 0035, 0036, 0037, 0039, 0040, 0041, 0042, 0043, 0044, 0046, 0047, 0048, 0049, 0051, 0052, 0053, 0055, 0056, 0057, 0058, 0059, 0060, 0061, 0062, 0064, 0065, 0067, 0068, 0069, 0070, 0071, 0072, 0073, 0074, 0075, 0076, 0077, 0078, 0079, 0080, 0082, 0084, 0085, 0086, 0087, 0088, 0089, 0090, 0091, 0092, 0093, 0095, 0096, 0097, 0098, 0099, 0100, 0101, 0104, 0106, 0107, 0109, 0110, 0111, 0112, 0113, 0114, 0115, 0116, 0118, 0120, 0121, 0122, 0123, 0124, 0127, 0128, 0129, 0130, 0131, 0132, 0133, 0135, 0136, 0138, 0139, 0140, 0141, 0142, 0143, 0144, 0146, 0148, 0149, 0150, 0151, 0152, 0159, 0161, 0162, 0166, 0167, 0168, 0170, 0171, 0173, 0174, 0175, 0177, 0178, 0179, 0180, 0182, 0183, 0185, 0187, 0188, 0189, 0190, 0191, 0193, 0194, 0195, 0196, 0197, 0198, 0199, 0200

Запрос: экономика | рост | закон

Результат: 108 документов
Документы: 0001, 0002, 0004, 0005, 0006, 0007, 0011, 0012, 0015, 0021, 0025, 0028, 0033, 0038, 0040, 0045, 0046, 0049, 0050, 0053, 0054, 0056, 0057, 0058, 0059, 0060, 0062, 0063, 0064, 0065, 0066, 0067, 0068, 0069, 0070, 0071, 0072, 0073, 0074, 0075, 0077, 0078, 0079, 0080, 0081, 0083, 0087, 0088, 0090, 0091, 0092, 0094, 0096, 0100, 0101, 0102, 0103, 0104, 0105, 0106, 0108, 0109, 0110, 0111, 0112, 0116, 0117, 0119, 0121, 0122, 0124, 0125, 0126, 0128, 0133, 0134, 0136, 0137, 0145, 0147, 0149, 0150, 0153, 0154, 0155, 0156, 0157, 0158, 0159, 0160, 0161, 0163, 0164, 0165, 0166, 0167, 0169, 0172, 0174, 0176, 0177, 0180, 0181, 0184, 0186, 0192, 0193, 0195

